Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo,W.P
28,YES,118.9,90.2,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,7.6,2013,YES,LARGE,65.1,0.780257876
29,YES,107.3,99.8,53.1,48.3,16.7,16.7,23.3,24.8,28.3,30,52.8,47.3,35.6,33,-0.9,2019,NO,LARGE,66.1,0.656467085
30,YES,98.6,104.2,48.5,48.6,17.7,20.9,25.7,28.5,38.2,38.4,45.4,48.2,36.3,32.9,-6.1,2021,NO,MEDIUM,74.3,0.587560677
31,NO,99.4,106.1,47.7,52,20.4,19.3,29.9,29.9,32.2,33.4,44.6,48.5,35.3,38.5,-13.2,2018,NO,MEDIUM,66.8,0.20752712
32,NO,109.3,100.8,49.8,51.8,18.7,20.6,29.2,31.6,28.5,28,51.3,50.5,31.6,35.9,-5.6,2020,NO,LARGE,69.8,0.335501216
33,NO,96.3,113.6,49.8,54.2,21.3,17.7,29.7,31.9,38.8,29.3,51.3,53.8,31,36.5,-17.4,2019,NO,SMALL,67.5,0.19076913
34,NO,106.6,99.7,49.2,52.5,15,20.7,21.4,30.1,33.3,36.1,48.8,51.5,33.3,36.2,-4.6,2021,NO,LARGE,72.9,0.359803485
35,YES,105.8,101.4,52.4,51.8,15.9,19,18.3,24.5,24,35.2,47.9,49.3,38.3,38,-6.9,2017,NO,LARGE,64.2,0.503681397
36,YES,110.3,103.7,53.1,47,17.6,16,31.1,31.5,41.9,39.3,50.5,43.5,38.7,35.2,-2.8,2014,NO,LARGE,63.7,0.645915143
37,YES,105.1,94.3,50.1,46.7,20.4,18.6,34.3,29,41.4,33.3,49.2,45.8,35,32.1,-4,2013,NO,LARGE,63.1,0.49036896
38,YES,121,89.7,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,7.8,2013,YES,LARGE,67.8,0.777165623
39,YES,103.9,98.1,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,-4.5,2015,NO,LARGE,64,0.532814897
40,YES,123.3,97.6,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,3.8,2017,YES,LARGE,64,0.358606673
41,NO,93.9,98.1,44.6,45.7,19,19.3,23.1,30,39.3,41.5,44.1,43.2,30.3,33.3,-11.2,2015,NO,MEDIUM,65.2,0.33631522
42,NO,88.1,114.2,44.7,53.1,21.4,16.6,23.8,34.2,39.3,57.7,43.1,51.4,32.6,38.3,-21.9,2014,NO,SMALL,65.4,0.024582524
43,YES,92.9,100.3,49.1,45.7,21.4,18,23,25.4,31.5,32.2,50.8,45.3,31,30.9,-7.4,2021,NO,SMALL,66.4,0.568444706
44,NO,98.6,115.7,47.4,52.8,21.4,17.2,37.6,31.5,39.4,43.7,47.5,51,31.5,37.9,-12,2015,NO,SMALL,66.7,0.139284312
45,NO,92.3,113.3,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,-20.9,2015,NO,SMALL,66.6,0.081690462
46,YES,120.6,90.9,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,4,2021,YES,LARGE,65,0.749128065
47,YES,104.6,101.2,52.1,51,17.6,19.1,19.5,25.7,41.2,37.8,52.7,48.6,34.2,37,-3.8,2018,NO,MEDIUM,74.5,0.532261531
48,NO,98.9,107.4,47.8,51.2,19.3,20.7,26.9,33.7,36.5,37.7,46.7,50.8,33.2,34.8,-15.7,2013,NO,SMALL,72.2,0.318657645
49,NO,94.6,109.4,49,53.7,20.8,18.7,24,29.6,29.8,35.2,47.7,54.6,33.9,34.7,-14.7,2021,NO,SMALL,68.7,0.0918823
50,NO,91.8,111.4,43.7,53.4,17.9,23.9,31.8,35.2,34.3,39.9,41.5,52.4,33.1,36.7,-17.3,2019,NO,SMALL,73.6,0.213798105
51,YES,107.1,97.4,53.5,49.8,18.2,22.4,31.8,26.2,36.9,33.1,55.2,51.1,33.9,31.7,2.5,2020,YES,LARGE,66,0.957405978
52,YES,107.7,95.1,48.7,46.5,15.6,19.2,31.1,30.8,37.1,38.1,47.6,44,34.9,34.5,-0.2,2014,NO,LARGE,68.1,0.575858708
53,YES,105.4,96.3,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,-0.6,2016,NO,LARGE,65.7,0.518389375
54,YES,100.8,104.1,51.4,48.7,21.2,14.8,31.7,24,43.5,34.6,51.2,47.2,34.7,34.4,-7,2021,NO,MEDIUM,70.3,0.470758178
55,YES,108,100.1,51.3,48.4,18.3,17.8,24.3,24.3,38.9,41.4,50,46.9,35.5,33.6,-2.8,2021,NO,LARGE,70.3,0.442052367
56,YES,100.2,106.5,51.2,51.5,17.4,18.4,23.2,28.4,36.5,22.7,51.2,53.4,34.1,32.8,-8.9,2021,NO,MEDIUM,66.5,0.582930172
57,YES,120,96.2,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,6.5,2017,YES,LARGE,69.6,0.63941049
58,YES,101.4,101.3,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28,52.7,46.1,32.7,29.2,-5.1,2017,NO,MEDIUM,68,0.657548967
59,YES,110.7,95.4,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,49.2,44.1,34.6,34.4,0.2,2015,YES,LARGE,64,0.494155031
60,NO,103.7,104.4,49.6,51.6,17.2,20.6,28.4,31.1,39.3,36.8,49.5,51.5,33.2,34.5,-8,2014,NO,MEDIUM,74.1,0.374082379
61,NO,92.1,112.8,48.9,52.6,22.5,17.5,26.2,38.5,35.2,35.7,47.2,51.7,35,36.3,-18.6,2013,NO,SMALL,68.7,0.189606536
62,YES,108.9,102.5,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,49,52.8,37.4,30.7,-2.7,2020,NO,LARGE,68,0.766440519
63,YES,102.5,98.4,53.2,42.1,19.8,20.2,31,30.8,37.2,41.1,53.1,41.3,35.6,29.1,-2.4,2015,NO,LARGE,59.9,0.675356054
64,YES,111.2,94.7,51.4,46.9,19.2,15.3,33.9,27.3,32,27.6,52.5,45.7,32.9,32.6,1.9,2018,YES,LARGE,70.3,0.460163885
65,YES,106,106.6,54.1,47.8,19,13.8,28.4,28.7,49.7,35.1,51.1,47,39.4,33.7,-6.9,2014,NO,MEDIUM,64.3,0.558277448
66,NO,100.3,100.1,48.6,49.5,20.5,16.4,29,29.3,40.6,33.3,50,48,31.1,34.9,-9.1,2019,NO,MEDIUM,68.9,0.102555203
67,NO,104.5,116.9,52.4,56.4,17.3,17.6,24.2,35.8,41,29.5,52.2,56.9,35.2,37,-13.8,2017,NO,SMALL,71.3,0.367593639
68,NO,90.9,100.3,43.9,45.8,18.6,18.8,28.1,30.5,34.7,36.3,42.9,47.5,30.5,27.9,-15,2013,NO,SMALL,64.3,0.165107903
69,NO,95.1,110.4,48,50.3,18.6,18.8,26.1,32.7,38.8,47.5,45,49.8,35.7,34.1,-12.4,2014,NO,SMALL,68.8,0.207986465
70,NO,98.1,106.5,45.7,49.1,18.8,18.4,29.7,31.8,47.4,44.4,48.2,46.8,27.3,35.1,-13.5,2014,NO,SMALL,65.5,0.275723283
71,YES,97.3,100,48.3,49.6,17.5,17.9,24.6,22.7,23.2,39.5,47.3,50.4,33.1,32.4,-6.4,2021,NO,MEDIUM,66.2,0.488156225
72,NO,102.7,116.6,52,56.1,17.6,15,25.8,29.8,28.8,30.6,50.4,54.2,36.2,39.6,-14.3,2019,NO,SMALL,68.3,0.292230204
73,YES,103.5,96.8,50.8,48.5,18.8,20.6,27.2,27.5,40.5,46.2,49.5,47.2,35.6,33.6,-3.9,2017,NO,LARGE,69.8,0.527147909
74,YES,99.7,95.8,49.5,48.2,18.7,21.4,23.7,31.4,39.8,33,50.8,48.2,31.8,32.3,-3.4,2013,NO,LARGE,61.1,0.524232334
75,YES,100.6,101,48.6,48.3,17.9,19.5,33.6,28.9,29.7,29,45.6,46.3,35.2,34.4,-7.7,2013,NO,MEDIUM,67.7,0.46345653
76,YES,95.8,114.3,53.1,54.7,23,17.7,27,28.1,30.7,30.7,51.7,52.5,37.2,39,-12.6,2021,NO,SMALL,68.4,0.518527193
77,YES,98.3,110.3,50.1,51,17.2,18.1,23.5,33.6,21.9,36,45.4,53.5,37,30.7,-12.6,2019,NO,SMALL,70.2,0.325644643
78,YES,104.4,98.1,51.2,51,17.1,22.2,31.4,29.7,30.6,32.2,51.4,50.1,33.8,35,1.9,2019,YES,LARGE,69,0.829865998
79,NO,94,106.9,48.7,51.2,23.3,18.7,29.9,27.8,34.8,38.5,48.8,46.7,32.5,38.6,-17.1,2019,NO,SMALL,64.9,0.18661651
80,NO,88.2,101.4,49.1,48.5,24.6,21.7,27.9,32.4,31.1,40.5,46.9,50.4,36.4,30.2,-14.1,2019,NO,SMALL,66.4,0.338025434
81,NO,101.9,111.3,50.6,55.6,14.9,18.8,24.5,28,31.5,32,48,56,37.7,36.6,-9.2,2021,NO,SMALL,65,0.378388435
82,YES,105.2,102.8,54.3,50.2,18,16.8,26.1,26,24.8,27.1,53.9,52.1,36.6,31.4,-6.3,2021,NO,MEDIUM,67.9,0.631910102
83,YES,118.4,96.6,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,4.3,2019,YES,LARGE,69.1,0.611679623
84,NO,94.2,117.7,47.2,53.6,19.5,18.7,27.5,36.5,32.1,36.2,44.8,54.4,35.1,34.8,-19.1,2018,NO,SMALL,68.4,0.196984177
85,YES,122.5,96,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,7.2,2016,YES,LARGE,67.6,0.778080069
86,NO,111.9,94.4,49.4,45.6,16.7,15.8,31.3,27.9,27.5,28,48.6,45.4,33.7,30.7,-1.5,2020,NO,LARGE,66.8,0.329398732
87,NO,100.3,108.4,49.7,53.6,15.4,17.4,27,26.1,31.4,33.5,45,52.7,38.9,36.6,-11.7,2016,NO,SMALL,71.3,0.187932857
88,NO,103.1,106.4,55.1,49.6,20.7,15.7,26.4,30.7,32.9,31,51.5,46.5,40.5,36.8,-12,2013,NO,MEDIUM,67.5,0.422609879
89,NO,99.6,107.2,54.6,49.7,21.2,19.7,26.8,33.2,30.2,32.3,55.2,50.2,35.8,32.4,-7.5,2021,NO,SMALL,68.9,0.35138099
90,NO,95.5,110.9,47.4,53.5,18,18.9,25.1,29.4,34.2,39.5,47,53.3,32,35.8,-15.2,2020,NO,SMALL,69,0.345195792
91,YES,104.1,100.6,50.1,48,20.5,18.4,34.6,27.6,39.6,37.4,49.2,47.8,34.7,32.3,-8.2,2015,NO,MEDIUM,70.4,0.454637745
92,YES,108.2,88.6,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,6.3,2019,YES,LARGE,65,0.580955963
93,YES,104.1,110.2,52.8,53.6,16.5,18.6,25.7,31.1,33.5,23.4,51.2,53.8,37,35.5,-7.7,2018,NO,MEDIUM,69.7,0.536204458
94,NO,94.1,106.2,46.4,49.5,18.2,19.1,27.2,29.1,27.2,36.5,47.7,47.8,29.3,35.3,-14.3,2020,NO,SMALL,70.1,0.281020223
95,YES,104.7,105.9,51.4,50.2,18,16.6,26.9,28.9,33.6,31.6,52.1,49.7,33.7,34,-10.5,2018,NO,MEDIUM,69.4,0.307235769
96,NO,102.1,94.8,47.5,49.6,21.3,24.3,29.6,30.2,34.7,38.8,47.9,49.6,31.3,33,-7.3,2020,NO,LARGE,67,0.323593938
97,NO,98.1,105.4,48,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47,51.3,33.4,34.9,-10.9,2016,NO,MEDIUM,67.9,0.194555963
98,NO,104.3,100,49.9,50.7,20.9,17,28.9,29.3,32.4,29.3,49.5,51,33.8,33.5,-4,2021,NO,LARGE,67,0.350765029
99,NO,105.7,104.4,48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,49.5,47.6,31.5,36.8,-7.8,2016,NO,MEDIUM,71.2,0.364771671
100,NO,93.9,107.1,44,50.7,16.7,20.8,30.4,33.9,35.8,38.5,43.6,52.5,30.1,31.2,-17.4,2016,NO,SMALL,70,0.214238957
101,NO,100.9,101.5,48.3,49.7,20.6,20.4,30.3,34.3,37.8,37.7,46.5,50.8,34.8,31.3,-8.8,2013,NO,MEDIUM,63.9,0.277499844
102,YES,105.9,98.8,51.7,50.7,18.6,21.1,28.9,33.3,36.7,34.4,51.6,50.9,34.6,33.4,-2.5,2018,NO,LARGE,70.8,0.597998441
103,YES,103.4,99.8,52.3,47.6,17.3,16.7,22.8,28.4,24.6,25,55,45.9,32.6,34.3,-4.5,2020,NO,LARGE,70.1,0.424105437
104,YES,104.2,92.7,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,-3,2015,NO,LARGE,62.2,0.488129261
105,NO,110.9,107,51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,48.7,55.9,36.6,36.4,-6.3,2017,NO,LARGE,71.7,0.409753369
106,YES,118.3,103.3,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,2.3,2016,YES,LARGE,65.5,0.665432366
107,NO,101.1,113.2,49.5,52.7,16.3,19.9,30.2,30.3,30.7,39.1,49.4,50.4,33.1,38.1,-8.7,2021,NO,SMALL,72.5,0.426860267
108,YES,100.9,100.7,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,-2.6,2019,NO,MEDIUM,67.1,0.788970105
109,NO,92.8,106.4,44,51.1,20.8,19.8,33.4,28.9,33.8,46.5,43.1,49.9,30.1,35.2,-13.5,2019,NO,SMALL,65.1,0.348861238
110,NO,88.9,105.3,46.1,48.6,19.1,19.7,23.6,28.7,32.9,30.2,49.5,47.5,28.1,33.4,-15.4,2020,NO,SMALL,73.7,0.30722831
111,YES,125.2,101.9,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,5.6,2014,YES,LARGE,65.4,0.759800222
112,NO,89.3,106.7,45.7,52.1,21.4,18.8,25.4,30.3,27.7,34.2,43.7,52.1,32.3,34.6,-15.8,2018,NO,SMALL,70.1,0.150770915
113,NO,89.4,109.2,46.3,52.4,23,17.6,22.7,30.5,35.3,34.2,45.8,53.2,31.5,34.1,-21.2,2018,NO,SMALL,70.3,0.201187355
114,YES,112.1,98,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,-2.4,2016,NO,LARGE,64.5,0.461980718
115,YES,100.8,108.4,50.1,51.6,18.9,17.7,26.6,27.7,28.7,27.1,49.8,51.4,33.7,34.5,-9.9,2020,NO,MEDIUM,68.7,0.471537769
116,NO,95.4,111.2,45.6,51.9,18.7,20.5,33.5,30.7,39.3,41.7,44.8,51.9,32,34.6,-15.8,2018,NO,SMALL,70,0.38040251
117,NO,108.7,98.3,50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,51.2,50.6,33.5,35,-3.8,2018,NO,LARGE,63.9,0.404118457
118,NO,85.4,104.7,44.8,44,21.4,18,28.2,29.4,31.8,37.4,45.5,44.8,28.8,28.3,-8.2,2021,NO,SMALL,67.4,0.380767025
119,YES,119.3,96.4,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,5.9,2017,YES,LARGE,68.3,0.57592886
120,YES,125,99.9,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,7.7,2014,YES,LARGE,62.6,0.729537338
121,NO,104.7,109.7,51.1,52.4,18.9,19.9,32,33.5,32.6,35.3,51.4,49.7,33.8,39,-10.6,2014,NO,MEDIUM,68.9,0.306639223
122,NO,93.9,112.9,49.8,55.8,20.9,19,22,26.1,34.1,43,48.6,53.8,34.8,39.3,-16.8,2021,NO,SMALL,70.9,0.097024156
123,YES,105.2,110.3,52.7,52.6,21.6,19,37.4,32.4,34.3,31.1,53.2,52.8,34.7,35,-6.7,2017,NO,MEDIUM,69.2,0.611460353
124,NO,98.8,113.2,47.8,55.5,17,21.1,29.2,30.1,37.3,39.6,46.5,53.7,33.3,39.1,-13.8,2013,NO,SMALL,66.2,0.342447758
125,NO,110.4,101.6,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,47.4,48.1,37.4,37.7,-7.9,2018,NO,LARGE,70.7,0.141980577
126,YES,111.2,96,49.9,47.6,15.9,17.3,29.5,29.3,35.5,28.5,47.4,47.1,35.8,32.4,0.7,2015,YES,LARGE,62.9,0.465378147
127,YES,113.8,92.1,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,2.6,2013,YES,LARGE,68.1,0.700156877
128,YES,117.8,93.4,55.6,49,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49,39.4,32.7,5,2019,YES,LARGE,65.1,0.633459025
129,YES,117.4,94.5,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,2.1,2016,YES,LARGE,68.2,0.572999081
130,NO,91,107.2,46,51.4,21.8,18.1,25.5,30.7,29.2,36.7,47.1,51.3,29.6,34.4,-20.2,2018,NO,SMALL,72.2,0.136011077
131,NO,89.2,103.8,47.4,51,24.1,23.5,30.6,30.3,33.3,45.6,45.6,48.6,33.2,36.1,-17.4,2019,NO,SMALL,63.3,0.326986221
132,NO,97.7,112.9,49.2,53,23,18.8,31.4,29.7,37.3,49.5,49.5,53,32.4,35.3,-15.5,2016,NO,SMALL,68.3,0.142826958
133,YES,108.7,93.9,50,45.3,18.2,20.1,28.5,36,36.9,31,49.5,44.4,34,31.5,1.5,2013,YES,LARGE,65.3,0.51723872
134,YES,110.2,96.8,51.5,47.2,19,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,3.2,2014,YES,LARGE,67.2,0.464044658
135,NO,76.6,121.4,41.1,52.2,26.8,14.8,28.5,39.1,24.9,34.9,38.4,49.9,31.2,37.8,-24.3,2013,NO,SMALL,64.7,0.107280505
136,NO,102.2,116.1,48.7,54.3,16.2,16.8,27.4,27.4,35,41.6,48,53.2,33.3,37.3,-13.8,2017,NO,SMALL,69.9,0.32465029
137,YES,113.4,109.2,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,-4.9,2016,NO,LARGE,72.7,0.584124906
138,YES,100,85.6,46.9,43.1,20.1,19.3,26.4,23.2,26.6,21.6,47.8,42.5,30.3,29.3,3.8,2020,YES,LARGE,59.4,0.72492655
139,NO,104,98.1,48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,48.2,49.1,32.3,38.8,-5.2,2017,NO,LARGE,69.8,0.337639362
140,YES,104.4,91.8,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,48.7,44.2,31.7,33.3,-1.8,2017,NO,LARGE,66.6,0.544914346
141,YES,100.6,92.9,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,-0.4,2015,NO,LARGE,64.3,0.630230151
142,NO,94,100,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,-14.9,2020,NO,MEDIUM,66.3,0.167282324
143,NO,105.6,107.2,56,50.7,18.8,16.5,23.7,28.4,27.4,35.1,53.8,47.8,39.5,37.8,-11.4,2015,NO,MEDIUM,61.2,0.413606076
144,NO,95.2,105.4,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,46,52,32.5,31.6,-11.2,2015,NO,SMALL,63.8,0.276120283
145,NO,102.5,106.3,49.9,51.3,18.9,17.2,29.5,25.6,36.8,36.6,49.9,48.7,33.3,37.9,-12.4,2018,NO,MEDIUM,71.2,0.425854019
146,YES,108.8,89.2,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,2.4,2021,YES,LARGE,66.9,0.625483212
147,YES,105.1,102.4,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,-5.8,2016,NO,MEDIUM,72.9,0.518605614
148,YES,104.2,100.1,49.3,47.2,18.4,19.5,31.6,29.5,32.4,32.2,48.6,46.1,33.8,32.6,-4.2,2015,NO,LARGE,63.8,0.639135091
149,YES,100.4,104.9,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,48,49.7,32.7,33.9,-10.3,2017,NO,MEDIUM,69.9,0.513356987
150,YES,104.8,106.6,54.8,49.7,19.7,18.6,26.2,27.2,35.9,32.1,54.8,48.1,36.5,34.9,-7.6,2018,NO,MEDIUM,72.8,0.606228277
151,YES,110.5,104.5,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44,49.6,50.6,37.1,33.2,-3.8,2014,NO,LARGE,70,0.394347915
152,NO,98.7,105.1,47.8,53.2,18.2,21.5,27.3,31.1,32.6,39.7,47.7,54.4,32,34,-11.3,2019,NO,MEDIUM,78.6,0.369876015
153,YES,102.3,103,53,51.4,18.4,18.6,27.7,25.6,34.8,28.4,53.6,49.5,34.9,37.1,-6.7,2019,NO,MEDIUM,67.9,0.647874219
154,YES,97.9,98.5,47,49.7,17.8,17.2,24.3,24.7,29.8,28.7,48.1,50.3,30.3,32.5,-5.6,2019,NO,MEDIUM,68.8,0.398504627
155,YES,102.8,104.7,52.8,51.4,18.2,18.2,22.9,20.4,33.7,34.4,51.1,47.3,36.8,37.5,-9.7,2018,NO,MEDIUM,64.2,0.622714253
156,NO,92.4,101.2,46.5,51.3,23.6,20.9,31.1,28.3,32.8,41.8,47.3,48.5,29.6,38.3,-14.5,2015,NO,SMALL,64.1,0.099971046
157,YES,117.6,91.5,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,6.9,2017,YES,LARGE,69.4,0.702187955
158,YES,108.5,93.8,47.6,49,20.3,20.8,37,31,42.5,40.4,48.7,50.4,30,31,-1.3,2016,NO,LARGE,67.6,0.369169324
159,NO,94.1,115.3,48.9,53.2,20.3,17.6,24.5,35.5,33.9,39.4,48.7,52.9,32.9,36.1,-17.7,2014,NO,SMALL,74.8,0.054213502
160,YES,107.3,108.2,56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,51.9,49.9,42.4,33.8,-5.5,2019,NO,MEDIUM,72.9,0.602403539
161,NO,105.4,108.7,49.2,57,17.2,20.5,31,29.2,40.7,34,47.7,58.5,34.7,36.5,-8.5,2013,NO,MEDIUM,69.3,0.343220261
162,YES,112.1,92.2,48,43.9,17.8,18.2,38.7,25.3,32.9,41.6,46.6,44.5,33.7,28.6,2.7,2020,YES,LARGE,65.7,0.657921902
163,YES,102,102.4,49.7,49.2,21,17.4,33.8,29.7,39.5,36.1,48.2,49.2,35.6,32.8,-6.9,2014,NO,MEDIUM,69.6,0.454251875
