Ob,X500.Level,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,WAB,YEAR,NCAA,Power.Rating,Adjusted.Tempo
42,NO,104.8,98.1,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,-5.7,2015,NO,LARGE,68.7
43,YES,112.2,99.1,51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,0.1,2016,YES,LARGE,72.7
44,YES,113.9,98.2,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32,0,2016,NO,LARGE,67.8
45,YES,111.5,89.6,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,4.3,2016,YES,LARGE,67.2
46,NO,113.6,102.9,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,-4,2016,NO,LARGE,68.5
47,NO,111.9,105.2,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,52.4,49.5,35.6,36.9,-4.1,2017,NO,LARGE,71.9
48,YES,116.2,100.6,53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,51.3,49.6,37.9,34.3,-1.1,2017,NO,LARGE,68.2
49,YES,112.6,102.8,52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,51.1,50.1,35.9,36.1,-1.9,2018,NO,LARGE,70.9
50,YES,112,96.4,51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,49.7,45.8,37.1,32.9,0.5,2018,YES,LARGE,70.6
51,NO,98.2,103.3,48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,47.8,50.1,32.5,33.4,-10.9,2018,NO,MEDIUM,66.5
52,NO,106.2,101.5,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,-5.4,2019,NO,LARGE,68.8
53,YES,107.2,90.3,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,51.5,44.4,32.8,35,0.1,2019,YES,LARGE,67.4
54,NO,99.9,95.7,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,-4.8,2019,NO,LARGE,68.5
55,YES,112.4,97.5,52,49.4,17.3,21.5,36,28.8,28.5,38.8,51.6,51,35.2,30.9,1.9,2019,YES,LARGE,72.8
56,NO,103.5,103.2,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,44.1,54.7,30.8,34.1,-7.5,2019,NO,MEDIUM,68.9
57,YES,99.9,98.1,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,-4.8,2015,NO,MEDIUM,64.5
58,NO,91.6,107.2,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,-11.8,2015,NO,SMALL,64.1
59,NO,87,108.6,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,-20.7,2015,NO,SMALL,65.1
60,NO,89.3,102.1,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45,49,28.4,33.7,-17.3,2016,NO,SMALL,66.6
61,NO,99.4,115,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,-13.2,2016,NO,SMALL,73.7
62,NO,98.6,117.3,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38,-20.5,2016,NO,SMALL,70.1
63,NO,92.1,109.9,47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,45,48.7,33.9,38.9,-18.1,2017,NO,SMALL,70.3
64,NO,102.9,115.4,54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,53.1,52.3,38.4,37,-15.6,2017,NO,SMALL,73.6
65,NO,103.5,113.7,52.1,55.4,18.7,20.3,26.3,32.5,39.2,33.5,52.4,55,34.4,37.5,-14.1,2018,NO,SMALL,72.6
66,NO,97.9,106.8,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,46.9,51,34.8,35.9,-15.7,2019,NO,SMALL,67.3
67,NO,83.7,106.1,44,51.5,18.4,16.9,21.5,24.7,21.9,38,39.4,52.1,32.6,33.6,-20.2,2019,NO,SMALL,67.1
68,YES,97.5,99.6,48.1,46,20.7,18.6,33.2,26.1,35.4,36.2,47.7,46.6,32.6,30.1,-3.8,2019,NO,MEDIUM,70.7
69,NO,101.7,112.7,53.7,52,19.6,17.9,27,29.8,34.1,32.6,55.1,54.7,34.3,31.6,-13,2019,NO,SMALL,71.6
70,YES,94.8,101.3,48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,49.5,51.8,31.3,34,-8.1,2019,NO,MEDIUM,66.2
71,NO,102.2,106.1,48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,45.2,53,35.6,31.6,-10.8,2015,NO,MEDIUM,61.9
72,NO,100.9,102.3,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,-11.6,2015,NO,MEDIUM,64.6
73,YES,104.7,95.1,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,-5.4,2015,NO,LARGE,66.6
74,NO,101,109.4,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,47.6,50.3,34.5,35.6,-11.2,2015,NO,SMALL,64.6
75,YES,117.2,97.1,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,52.5,44.6,42,33.1,3.6,2016,YES,LARGE,66.6
76,NO,96.6,97.1,45.8,44.7,20.8,17,30.7,31.1,37.4,27.2,44.5,42.6,32,32.5,-8.4,2017,NO,MEDIUM,68.3
77,YES,112.8,98.1,51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,47.7,45.7,39.4,32.9,-0.9,2017,NO,LARGE,66.6
78,YES,105.8,100.5,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,51.1,47.7,29.5,33.7,-3.4,2017,NO,LARGE,70
79,NO,96.5,106.2,47.7,51,23.5,19.1,30.6,34,30.7,40.1,45.9,45.1,34.6,39.6,-14.7,2017,NO,SMALL,70.1
80,NO,107.9,102.4,49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,47,47.7,35.6,34.3,-5.8,2017,NO,LARGE,68.7
81,YES,103.8,92.1,50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,48.9,39.9,35.2,31.3,-1.8,2017,NO,LARGE,67.1
82,NO,96.2,108.7,48.3,51.5,20.6,17.3,27.8,32.5,28.7,31.1,49.6,50.6,30.5,35.3,-13.5,2018,NO,SMALL,70.1
83,NO,98.9,107.6,48,51.1,21.4,16.5,28.8,30.6,33.1,32.6,44.8,52,36.1,33,-14.9,2018,NO,SMALL,65.8
84,YES,106.5,94.7,46.9,47.6,17.4,17.6,32.5,26.9,28.8,38.8,47.1,46.5,31,33,-2.9,2019,NO,LARGE,69.4
85,NO,91.3,113.1,45.3,50.7,21.3,16.2,29.6,35.1,29.8,35.7,44.1,51.1,31.5,33.4,-16.8,2015,NO,SMALL,66.1
86,YES,102,103.1,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,49.2,46.6,33.2,31.9,-6.8,2015,NO,MEDIUM,63.6
87,NO,101.5,109.1,51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,50.5,51.1,35.2,37,-16,2016,NO,MEDIUM,73.9
88,YES,106.3,106.3,55,52,20.1,20.3,28.3,30.9,41.2,44.2,55.7,50.9,36,36,-8.1,2017,NO,MEDIUM,75.7
89,NO,98,109.3,48.7,55.2,19.7,18.4,30.5,25.2,33.3,36.3,47.7,53.7,33.4,38.4,-14.6,2017,NO,SMALL,69.5
90,NO,99.3,114.2,49.9,52.9,14.9,15.1,21.1,33,32.6,32.2,49.9,52.6,33.4,35.6,-16.3,2017,NO,SMALL,73.9
91,NO,98.3,111.9,49.4,54.2,19.2,18.8,29.6,33.6,35,32.9,47.5,56.8,36.9,32.8,-14.5,2018,NO,SMALL,69.5
92,NO,97.8,111.3,48.9,54.6,14.9,18.5,23.2,27.5,25,37,48.7,53.6,32.9,37.4,-16.1,2018,NO,SMALL,71
93,YES,99.7,103.6,50.7,49,17.1,17.9,21.9,27.1,38.4,29.7,49.8,48.8,34.8,32.8,-6.2,2019,NO,MEDIUM,68.2
94,NO,96,112.6,45.5,54.5,17.5,18,27.9,32,25,33,45,54.2,31,36.6,-17.7,2019,NO,SMALL,70.7
95,NO,110.9,97.1,49.4,50.9,15.6,19.4,25.5,31.2,26.6,26.7,47,50.8,35.3,34,-2.4,2015,NO,LARGE,60.2
96,NO,98.5,93.2,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,48,44.7,28.4,33.4,-5.3,2015,NO,LARGE,63.7
97,NO,105.7,100.8,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,48.3,43.8,35.9,37.7,-4.2,2015,NO,LARGE,60.6
98,YES,103.9,93.9,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,-3.6,2015,NO,LARGE,65.9
99,NO,96.4,98,43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,43.3,49.3,29.5,33.7,-8.7,2015,NO,MEDIUM,65.4
100,NO,105.5,102,50.2,53.6,14.9,19,21.5,28.1,30.5,26.5,47.5,51,36.3,38.6,-7.2,2016,NO,MEDIUM,69
101,NO,99.6,102.9,45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,45.6,48.7,31,38.2,-12.8,2016,NO,MEDIUM,69.4
102,NO,101.3,99.7,46.6,48.8,16.9,17.6,28.7,29.4,34.5,42.5,45.9,45.5,31.7,36.6,-4.8,2016,NO,MEDIUM,67
103,YES,115.4,99.9,55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,54.1,47.7,38,33.7,-1.1,2017,NO,LARGE,69.7
104,NO,103.4,96.8,47.2,49.2,17.9,20.3,26.6,30.6,32.8,31.2,45.4,46.5,33.9,36.3,-4.9,2017,NO,LARGE,72.1
105,YES,110.4,96.1,49.1,47,16,18.3,30.1,34,37.6,26.5,47.6,46.5,34.6,32.2,1.9,2018,YES,LARGE,68.7
106,YES,115,93.6,52.6,48.3,17.3,19.5,31.7,28.2,31.5,32.1,49.8,46.7,38.7,34.2,-0.5,2018,NO,LARGE,68.7
107,NO,98.1,95,43.6,48,17.2,20.5,33.3,29.1,30.5,30.8,43.4,47.6,29.6,32.5,-6.8,2018,NO,MEDIUM,67.2
108,NO,104.6,96.2,47.8,49.7,20.9,20.2,34,31.4,46,41,46.9,49.5,33.5,33.5,-2.6,2015,NO,LARGE,62.7
109,NO,107,94.5,47.4,50,19,18.5,30.8,29.8,36.7,33.5,45.7,47.1,34.3,36.5,-4.5,2017,NO,LARGE,71.4
110,YES,111.3,96.7,52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,51.9,48.9,36.7,35.5,-1.1,2017,NO,LARGE,65.2
111,YES,110.5,95.5,51.8,47.7,19.8,17.2,35.5,29.7,32.2,30.2,51.3,46.2,35.4,33.4,0.1,2018,YES,LARGE,67.6
112,NO,109.1,100.6,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,-4.1,2019,NO,LARGE,67.5
113,YES,109.8,94.5,52.1,48.4,19.2,18.6,31.2,28.7,31.7,27.7,52.3,49.9,34.6,30.4,1.1,2019,YES,LARGE,70.1
114,YES,113.3,93.7,50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,49.8,46.2,34.8,35.4,-0.5,2019,NO,LARGE,66.1
115,NO,108.8,100.7,47.5,52.4,21.3,18.5,36.9,28.7,38.9,38,47.6,51.3,31.6,36.1,-3.7,2019,NO,LARGE,71.9
116,YES,112.8,96.3,53.8,49,16.1,17.5,27.3,26.1,37.5,33.5,54.5,47.5,35.2,34.6,-1.8,2016,NO,LARGE,71.3
117,NO,96.3,100.6,45.4,51.1,20.9,20.1,27.5,30.9,38,43.3,44.1,49.1,32,36.6,-11.2,2016,NO,MEDIUM,72.9
118,NO,107.5,96.4,52,47.4,20.1,17.3,29,30.5,42.6,38.8,51.8,46.8,34.9,32.4,-4.6,2017,NO,LARGE,70.3
119,NO,103.8,96,47.9,52,19.4,20.2,32.9,28.1,29.4,32.3,48.5,49.2,31,37.1,-6.7,2018,NO,LARGE,71
120,NO,111.5,100.4,51.8,50.8,20.7,17,31.3,26,38.3,28.3,50.1,49.9,36.6,34.8,-3.5,2018,NO,LARGE,71.4
121,YES,120.1,103.8,56.8,53.8,17.3,18.1,27.6,29.6,28.8,38.9,52.2,53.8,41.7,35.9,1,2018,YES,LARGE,70.4
122,NO,106,95.1,49.2,50.3,16.4,22.2,23.6,32,30.4,34.4,48.8,46,33.3,37.4,-3,2018,NO,LARGE,70.5
123,NO,110.5,100.9,52.1,52.7,16.1,18.9,25.7,27.6,25.2,36.3,51.4,52.2,35.3,35.7,-4.4,2019,NO,LARGE,67.2
124,YES,107.7,101.3,51,50.2,17.9,16.3,29.1,26.2,38.2,30.3,49.6,49.6,35.6,34,-2.5,2019,NO,LARGE,73.6
125,YES,104.3,95,48,49.7,18.7,20.2,31.8,28.3,39.1,32.8,47.5,48.8,32.6,34.1,-3.4,2019,NO,LARGE,69.2
126,YES,110.4,99.1,52.8,50.7,19.6,16.2,32.2,27.2,32.6,24.9,54.7,48.7,33.1,35.6,-2.9,2019,NO,LARGE,66.6
127,NO,104.7,110.8,53.4,53.6,17.5,15.4,30.7,27,38.6,41.5,49.2,53,41,36.3,-13,2015,NO,MEDIUM,67.9
128,YES,104.5,104.2,53.7,51.3,18,19.9,27.6,28.7,33.3,43.6,52.9,49.4,36.6,36.1,-7.1,2015,NO,MEDIUM,62.5
129,NO,94.7,107.8,46.9,53,20.6,17,29.1,28.2,28.7,44.8,42.4,50.4,35.6,39.4,-17.9,2015,NO,SMALL,66.2
130,YES,100.1,101.7,46.1,48.6,17.7,16.7,35.3,26.8,36.4,38.4,42.9,49.1,34.8,31.7,-8.6,2015,NO,MEDIUM,65.2
131,NO,96.8,109.4,52.3,51.5,20.1,15.7,22.6,29.3,38.7,50.6,48.4,49.6,39.7,37.2,-14.8,2015,NO,SMALL,68
132,NO,111.6,112.9,56.4,54,16.1,15.9,26.7,29.2,35.9,37.9,55.4,53.3,38.4,37.4,-10.7,2016,NO,MEDIUM,69.4
133,NO,106.4,111.6,50.8,53.9,17.3,16.9,33,27.5,30.7,46.3,47.2,53.4,37.2,36.5,-12.3,2016,NO,MEDIUM,69.3
134,NO,99.4,101.4,50.6,51.2,18.1,19.6,23.8,25.9,39.3,38.6,48.7,51,36.7,34.4,-10.5,2016,NO,MEDIUM,72.4
135,NO,92.6,112.9,45.2,56.2,18.1,17.5,22.3,29.6,36.1,34.3,42.3,53.9,33.4,39.9,-18.8,2016,NO,SMALL,71.2
136,NO,101,117.3,50.7,55.9,19.9,17.7,29.2,29.8,43.4,48.4,48.8,54.4,36.4,38.8,-16,2016,NO,SMALL,69.6
137,NO,97.3,117.8,49.3,57.7,18.8,17.4,23.9,31.2,35.4,45,46.5,55,36.4,42.2,-18.6,2016,NO,SMALL,68.8
138,YES,108.6,110,54.2,51.2,17.1,14.5,27.3,27.8,34.8,36.9,53.7,48.2,36.8,37.7,-5.8,2017,NO,MEDIUM,67.8
139,NO,104.9,107.3,51.2,52,15.6,18.2,28,26.8,33,44.4,49.9,52.1,35.7,34.5,-10.8,2017,NO,MEDIUM,68.2
140,NO,97.2,105.4,51,52.2,20.3,18.2,27.4,25.4,34.4,34.5,50.6,52,34.3,35,-12.6,2017,NO,SMALL,70.1
141,YES,107.9,106.6,54.7,50.1,19.4,16.1,31.1,24.2,30.4,30.2,50.3,48.1,41.1,35.2,-4.5,2018,NO,MEDIUM,66.8
142,NO,104.2,108.1,55,52.5,18.5,16.7,19.8,28.1,34.5,31,52.4,53.1,39.4,34.3,-11.3,2018,NO,MEDIUM,69.2
143,NO,101.9,110.3,47.8,54.9,17.1,18.4,28.7,27.7,39,36.4,46.1,55.9,33.8,35.5,-13.8,2018,NO,SMALL,70.8
144,YES,106.7,100.2,53.7,48.8,16.7,17.3,25.6,24.4,33.7,36.7,54,48.7,35.5,32.8,-6.2,2018,NO,LARGE,73.1
145,NO,94.5,118,50.3,53.7,20,13.3,24.2,32,28.2,33.1,46.5,55.4,37.6,34.3,-23.4,2019,NO,SMALL,66.5
146,NO,99.4,112,50.3,55,17,16.6,25.8,26.5,33.8,29.7,49.2,55.9,34.6,35.8,-16.7,2019,NO,SMALL,69.9
147,YES,101.1,111.2,46.9,53.7,19.4,18.8,38.7,28.5,37.3,43.3,48.3,54.6,29.8,34.8,-12,2019,NO,SMALL,70.5
148,YES,99.9,105.3,53.2,49,16,15.8,19.2,26.9,37.1,30.9,53.4,49.7,35.2,31.7,-10.7,2019,NO,MEDIUM,72.5
149,YES,103.9,107.4,48.5,52.4,17.2,18.9,33.4,28.5,34.9,32.4,46.7,50.5,33.7,36.7,-6.2,2015,NO,MEDIUM,65.7
150,YES,104.5,104.9,51.9,51.3,17.5,19.8,30.6,31.5,34.1,31.5,49.3,49.8,38.6,35.8,-3.9,2015,NO,MEDIUM,62.8
151,NO,94.8,111.4,48.4,54,20.9,15.9,27.3,33.6,33.3,28.7,48.8,50.6,31.7,38.9,-17.1,2015,NO,SMALL,62.4
152,YES,105.8,107.4,54.2,47.7,17.8,15.9,26,32,41.1,31.9,53.9,47.1,36.4,32.7,-4.9,2016,NO,MEDIUM,73.7
153,YES,99.9,109.2,51.4,50.7,18.7,17.3,24.2,28.9,36.6,38.7,50.2,49.9,35.6,34.7,-12.9,2017,NO,SMALL,67
154,YES,98.1,102.8,52.3,52.2,16,22,15,24.7,34.2,42.2,50.4,52.1,36.1,34.9,-8.2,2017,NO,MEDIUM,64.2
155,NO,87.2,118.2,45.5,56.1,23.3,16.9,29,31.9,27.7,36.7,43.2,53.3,33.6,39.6,-20.5,2017,NO,SMALL,65.3
156,YES,104.9,110.3,54.6,52,17.2,17.3,20.8,26.5,34,32.5,52.6,51.8,38.1,34.8,-11.5,2018,NO,MEDIUM,68.9
157,YES,99.9,107.3,49,53.9,19.5,22.1,30.2,28.1,31.3,35.1,49,49.9,32.6,39.2,-11.5,2018,NO,MEDIUM,67.5
158,NO,97.6,104.8,49.1,50.4,20.1,17.1,25.2,27.3,28,37.3,48.1,50.8,34,33.2,-12.1,2018,NO,MEDIUM,69
159,YES,98.5,106.5,49.3,50.1,19.1,20.4,30.9,28.9,34.1,40.1,47.6,48.8,35.9,34.8,-12.4,2018,NO,SMALL,66.8
160,YES,105.1,106.7,54.6,52.5,19.4,18.5,24,26.8,31.3,33.9,52,52.4,39.4,35.1,-6.2,2018,NO,MEDIUM,70.6
161,YES,98.7,103.9,49.1,50.3,20.4,16.3,34.1,25.5,33.8,29.1,51,51.5,30.3,32.6,-10.2,2019,NO,MEDIUM,65
162,YES,107.9,109.8,53.4,53.4,14.7,17.9,25.3,27.4,30.5,33.1,50.1,53.5,38,35.4,-9.6,2019,NO,MEDIUM,68.9
163,YES,107.3,104.4,52.8,51.9,16.4,18.1,29.7,24.9,27,30.7,50.1,51.7,38,34.7,-4.4,2019,NO,MEDIUM,65.8
164,NO,93.1,116,46.2,55.7,23.5,18.2,27.7,37.1,26.3,33.7,45.2,56.7,31.7,36.2,-20.8,2019,NO,SMALL,63.7
165,YES,104.8,107,54.2,51.3,20.2,15.4,28.7,25.5,30.4,30.3,53.3,51.6,36.7,33.8,-6.5,2019,NO,MEDIUM,74.3
166,NO,101.5,100,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,-9,2015,NO,MEDIUM,59.2
167,NO,99,107.2,45.3,51,19.5,16.6,28.4,30.5,41.1,35.9,44.3,48.5,33,36.6,-15.8,2015,NO,SMALL,65.8
168,YES,104.2,98.1,49.3,47.6,18.7,23.4,32.2,34.4,36.7,42,49.3,45.2,32.8,34.8,-6.2,2015,NO,LARGE,69.6
169,YES,109.9,104.9,57.3,48.4,20.9,17.9,28.6,33.7,39.3,33.3,51.7,46.5,44.1,34.6,-1,2015,NO,LARGE,63.1
170,YES,108.1,101.3,49.6,47.8,16.9,17.9,30.7,29.8,32,39.9,46.6,45.2,37,35.4,-5.2,2015,NO,LARGE,62.9
171,NO,99.2,105.8,46.7,51.7,19.4,18.9,27.6,31.3,42.1,36,47.1,47.8,30.2,39.7,-13.4,2016,NO,MEDIUM,71.3
172,YES,105.5,96.7,51.1,44.6,18.2,17.4,29.1,28.2,35.1,34.7,49.3,41.6,36.7,33.2,-0.8,2016,NO,LARGE,68.1
173,YES,106.3,97.9,50.3,46.7,18.5,17.5,28.8,27.9,27.4,41.8,48.4,47.8,35.8,30,-4.8,2016,NO,LARGE,67.6
174,NO,100.5,110.7,47.3,52.6,16.1,17.7,25.6,30.3,29.4,41.1,45.1,50,33.5,39.8,-14.9,2017,NO,SMALL,66.4
175,YES,97.1,103.1,49.1,49.7,20.7,19.6,30.3,27.5,39.9,42.1,50.6,48.8,30.8,34.3,-11,2017,NO,MEDIUM,70
